;0;1
78;https://www.comprecar.com.br/carros-usados/sorocaba/city-15-i-vtec-exl-cvt-1670003;R$ 123.900,00
79;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-xei-16v-4p-automatico-1670008;R$ 149.000,00
80;https://www.comprecar.com.br/carros-usados/tatui/gol-10-12v-mpi-totalflex-1525803;R$ 70.000,00
81;https://www.comprecar.com.br/carros-usados/tatui/pulse-10-turbo-200-drive-1625938;R$ 117.000,00
82;https://www.comprecar.com.br/carros-usados/itu/pulse-10-12v-4p-flex-200-impetus-turbo-automatico-cvt-1628551;R$ 135.900,00
83;https://www.comprecar.com.br/carros-usados/jundiai/strada-14-fire-endurance-cs-1639989;R$ 94.900,00
84;https://www.comprecar.com.br/carros-usados/jundiai/corolla-cross-20-vvt-ie-xre-1657644;R$ 160.900,00
85;https://www.comprecar.com.br/carros-usados/itu/corolla-20-vvt-ie-xei-direct-shift-1652075;R$ 148.300,00
86;https://www.comprecar.com.br/carros-usados/itu/compass-13-t270-turbo-s-1667593;R$ 207.000,00
87;https://www.comprecar.com.br/carros-usados/sorocaba/saveiro-16-msi-robust-cs-8v-flex-2p-manual-1651933;R$ 88.800,00
88;https://www.comprecar.com.br/carros-usados/sorocaba/sandero-16-stepway-16v-4p-manual-1655542;R$ 36.900,00
89;https://www.comprecar.com.br/carros-usados/sorocaba/amarok-20-highline-4x4-cd-16v-turbo-intercooler-1631167;R$ 169.999,00
90;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-flex-vision-manual-1654012;R$ 73.800,00
91;https://www.comprecar.com.br/carros-usados/sorocaba/ix35-20-mpfi-gl-16v-flex-4p-automatico-1654016;R$ 149.800,00
92;https://www.comprecar.com.br/carros-usados/sorocaba/strada-13-firefly-volcano-cd-1668289;R$ 115.000,00
93;https://www.comprecar.com.br/carros-usados/tatui/m3-competition-1621659;R$ 880.000,00
94;https://www.comprecar.com.br/carros-usados/sorocaba/kicks-16-16v-start-exclusive-xtronic-1660282;R$ 137.900,00
95;https://www.comprecar.com.br/carros-usados/jundiai/taos-14-250-tsi-highline-1628238;R$ 219.900,00
96;https://www.comprecar.com.br/carros-usados/jundiai/corolla-20-vvt-ie-xei-1647800;R$ 146.900,00
97;https://www.comprecar.com.br/carros-usados/jundiai/t-cross-10-200-tsi-1653538;R$ 133.900,00
98;https://www.comprecar.com.br/carros-usados/jundiai/corolla-cross-20-vvt-ie-xre-1654215;R$ 167.800,00
99;https://www.comprecar.com.br/carros-usados/jundiai/t-cross-10-200-tsi-1657818;R$ 133.900,00
100;https://www.comprecar.com.br/carros-usados/sorocaba/a3-18-tfsi-sportback-16v-4p-automatico-1651287;R$ 89.900,00
101;https://www.comprecar.com.br/carros-usados/indaiatuba/cruze-18-lt-16v-1667061;R$ 66.900,00
102;https://www.comprecar.com.br/carros-usados/jundiai/a3-20-40-tfsi-sedan-performance-black-1660497;R$ 327.900,00
103;https://www.comprecar.com.br/carros-usados/jundiai/maverick-20-ecoboost-lariat-fx4-1669704;R$ 269.900,00
104;https://www.comprecar.com.br/carros-usados/indaiatuba/nivus-10-200-tsi-highline-1654611;R$ 139.900,00
105;https://www.comprecar.com.br/carros-usados/jundiai/kwid-10-12v-sce-zen-1659799;R$ 58.900,00
106;https://www.comprecar.com.br/carros-usados/jundiai/duster-16-16v-sce-iconic-1619838;R$ 110.900,00
107;https://www.comprecar.com.br/carros-usados/jundiai/t-cross-10-200-tsi-comfortline-1663469;R$ 143.900,00
108;https://www.comprecar.com.br/carros-usados/jundiai/toro-20-16v-turbo-ranch-4wd-1665730;R$ 203.900,00
109;https://www.comprecar.com.br/carros-usados/sorocaba/kicks-16-16v-start-exclusive-xtronic-1623012;R$ 137.900,00
110;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-vvt-ie-gli-direct-shift-1664412;R$ 139.800,00
111;https://www.comprecar.com.br/carros-usados/sorocaba/bongo-25-td-diesel-std-cs-manual-1530187;R$ 142.990,00
112;https://www.comprecar.com.br/carros-usados/sorocaba/cerato-20-16v-flex-sx-automatico-1608321;R$ 144.990,00
113;https://www.comprecar.com.br/carros-usados/sorocaba/stonic-10-tgdi-mhev-sx-automatico-1649408;R$ 146.900,00
114;https://www.comprecar.com.br/carros-usados/sorocaba/cerato-20-16v-flex-ex-automatico-1667764;R$ 125.990,00
115;https://www.comprecar.com.br/carros-usados/sorocaba/stonic-10-tgdi-mhev-sx-automatico-1671139;R$ 146.900,00
116;https://www.comprecar.com.br/carros-usados/sorocaba/c4-cactus-16-vti-120-flex-feel-eat6-1670430;R$ 101.990,00
117;https://www.comprecar.com.br/carros-usados/itu/hb20s-10-12v-evolution-1613203;R$ 78.500,00
118;https://www.comprecar.com.br/carros-usados/itu/commander-20-td380-turbo-overland-1640507;R$ 330.000,00
119;https://www.comprecar.com.br/carros-usados/itu/duster-oroch-16-16v-sce-express-1641629;R$ 98.000,00
120;https://www.comprecar.com.br/carros-usados/itu/hilux-28-d-4d-turbo-cd-srx-4x4-1645207;R$ 360.000,00
121;https://www.comprecar.com.br/carros-usados/itu/mobi-10-8v-like-1653597;R$ 62.000,00
122;https://www.comprecar.com.br/carros-usados/itu/duster-16-16v-sce-iconic-1653750;R$ 108.000,00
123;https://www.comprecar.com.br/carros-usados/itu/320i-20-16v-turbo-sport-gp-1671421;R$ 290.000,00
124;https://www.comprecar.com.br/carros-usados/sorocaba/hilux-sw4-28-d-4d-turbo-srx-7l-4x4-1643391;R$ 415.900,00
125;https://www.comprecar.com.br/carros-usados/itu/polo-10-200-tsi-comfortline-automatico-1609150;R$ 105.888,00
126;https://www.comprecar.com.br/carros-usados/itu/compass-13-t270-turbo-flex-limited-at6-1637550;R$ 209.888,00
127;https://www.comprecar.com.br/carros-usados/itu/t-cross-10-200-tsi-total-flex-automatico-1650955;R$ 126.888,00
128;https://www.comprecar.com.br/carros-usados/itu/toro-13-turbo-270-flex-volcano-at6-1650959;R$ 163.888,00
129;https://www.comprecar.com.br/carros-usados/itu/commander-20-td380-turbo-diesel-overland-at9-1651485;R$ 329.888,00
130;https://www.comprecar.com.br/carros-usados/itu/corolla-cross-20-vvt-ie-flex-xre-direct-shift-1663883;R$ 162.888,00
131;https://www.comprecar.com.br/carros-usados/itu/l200-triton-24-16v-turbo-diesel-sport-hpe-cd-4p-1665147;R$ 268.888,00
132;https://www.comprecar.com.br/carros-usados/sorocaba/punto-14-attractive-8v-4p-manual-1655855;R$ 38.900,00
133;https://www.comprecar.com.br/carros-usados/sorocaba/ka-15-se-16v-4p-manual-1671201;R$ 44.900,00
134;https://www.comprecar.com.br/carros-usados/itu/corolla-20-vvt-ie-flex-xei-direct-shift-1665526;R$ 145.888,00
135;https://www.comprecar.com.br/carros-usados/itu/mobi-10-8v-evo-flex-easy-manual-1670346;R$ 53.888,00
136;https://www.comprecar.com.br/carros-usados/capivari/corolla-20-vvt-ie-xei-direct-shift-1634081;R$ 148.000,00
137;https://www.comprecar.com.br/carros-usados/capivari/s10-28-mpfi-ltz-4x4-cd-16v-1665809;R$ 269.900,00
138;https://www.comprecar.com.br/carros-usados/indaiatuba/strada-endurance-cs-14-1668102;R$ 89.900,00
139;https://www.comprecar.com.br/carros-usados/indaiatuba/onix-10-1668105;R$ 75.900,00
140;https://www.comprecar.com.br/carros-usados/jundiai/nivus-10-200-tsi-highline-1622687;R$ 138.900,00
141;https://www.comprecar.com.br/carros-usados/jundiai/pulse-10-turbo-200-impetus-1646238;R$ 129.900,00
142;https://www.comprecar.com.br/carros-usados/jundiai/commander-13-t270-turbo-limited-1646268;R$ 229.900,00
143;https://www.comprecar.com.br/carros-usados/jundiai/corolla-cross-20-vvt-ie-xre-1646281;R$ 164.900,00
144;https://www.comprecar.com.br/carros-usados/jundiai/t-cross-10-200-tsi-1543216;R$ 106.900,00
145;https://www.comprecar.com.br/carros-usados/sorocaba/sandero-16-stepway-16v-4p-manual-1655542;R$ 36.900,00
146;https://www.comprecar.com.br/carros-usados/jundiai/q3-14-35-tfsi-black-s-tronic-1646355;R$ 334.900,00
147;https://www.comprecar.com.br/carros-usados/jundiai/208-16-16v-allure-1649989;R$ 99.900,00
148;https://www.comprecar.com.br/carros-usados/jundiai/hilux-28-d-4d-turbo-cd-srx-4x4-1651741;R$ 334.900,00
149;https://www.comprecar.com.br/carros-usados/jundiai/eclipse-cross-15-mivec-turbo-hpe-1656866;R$ 191.900,00
150;https://www.comprecar.com.br/carros-usados/jundiai/compass-13-t270-turbo-limited-1657688;R$ 203.900,00
151;https://www.comprecar.com.br/carros-usados/jundiai/onix-10-turbo-rs-1669059;R$ 99.900,00
152;https://www.comprecar.com.br/carros-usados/indaiatuba/corolla-20-vvt-ie-flex-xei-direct-shift-1666756;R$ 149.990,00
153;https://www.comprecar.com.br/carros-usados/indaiatuba/sandero-10-12v-sce-flex-gt-line-manual-1666757;R$ 74.990,00
154;https://www.comprecar.com.br/carros-usados/indaiatuba/corolla-18-vvt-i-hybrid-flex-altis-cvt-1666778;R$ 169.990,00
155;https://www.comprecar.com.br/carros-usados/indaiatuba/corolla-cross-20-vvt-ie-flex-xre-direct-shift-1666801;R$ 159.900,00
156;https://www.comprecar.com.br/carros-usados/indaiatuba/compass-13-t270-turbo-flex-s-at6-1668569;R$ 209.900,00
157;https://www.comprecar.com.br/carros-usados/sorocaba/mobi-10-8v-evo-like-1652327;R$ 64.990,00
158;https://www.comprecar.com.br/carros-usados/porto-feliz/yaris-xl-plus-con-sed-15-flex-16v-aut-1642980;R$ 97.900,00
159;https://www.comprecar.com.br/carros-usados/porto-feliz/toro-endurance-13-t270-4x2-flex-aut-1649269;R$ 132.900,00
160;https://www.comprecar.com.br/carros-usados/pilar-do-sul/s10-28-16v-turbo-high-country-cd-4x4-1571937;R$ 295.000,00
161;https://www.comprecar.com.br/carros-usados/pilar-do-sul/s10-28-ltz-4x4-cd-16v-turbo-1658502;R$ 269.000,00
162;https://www.comprecar.com.br/carros-usados/pilar-do-sul/taos-14-250-tsi-highline-1666965;R$ 249.000,00
163;https://www.comprecar.com.br/carros-usados/jundiai/kicks-16-16vstart-advance-1669522;R$ 132.900,00
164;https://www.comprecar.com.br/carros-usados/sorocaba/hb20s-10-tgdi-evolution-1665478;R$ 95.000,00
165;https://www.comprecar.com.br/carros-usados/ibiuna/strada-14-fire-endurance-cs-1667984;R$ 91.900,00
166;https://www.comprecar.com.br/carros-usados/boituva/creta-10-tgdi-limited-hyundai-1657305;R$ 134.800,00
167;https://www.comprecar.com.br/carros-usados/campinas/corolla-20-vvt-ie-gli-direct-shift-1660225;R$ 127.900,00
168;https://www.comprecar.com.br/carros-usados/campinas/onix-10-flex-manual-1670407;R$ 74.890,00
169;https://www.comprecar.com.br/carros-usados/campinas/kicks-1557918;R$ 123.990,00
170;https://www.comprecar.com.br/carros-usados/jundiai/corolla-cross-18-vvt-i-hybrid-special-edition-1629203;R$ 199.000,00
171;https://www.comprecar.com.br/carros-usados/jundiai/taos-14-250-tsi-highline-1635720;R$ 216.000,00
172;https://www.comprecar.com.br/carros-usados/jundiai/toro-13-turbo-270-freedom-1643874;R$ 152.000,00
173;https://www.comprecar.com.br/carros-usados/jundiai/captur-13-tce-iconic-1643979;R$ 142.000,00
174;https://www.comprecar.com.br/carros-usados/jundiai/captur-13-tce-iconic-1650101;R$ 142.000,00
175;https://www.comprecar.com.br/carros-usados/jundiai/sandero-20-16v-rs-1650109;R$ 97.000,00
176;https://www.comprecar.com.br/carros-usados/sorocaba/range-rover-evoque-20-prestige-4wd-16v-4p-automatico-1664872;R$ 122.900,00
177;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-xei-16v-4p-automatico-1664946;R$ 89.900,00
178;https://www.comprecar.com.br/carros-usados/jundiai/corolla-20-vvt-ie-xei-1650111;R$ 153.000,00
179;https://www.comprecar.com.br/carros-usados/jundiai/duster-16-16v-sce-iconic-1651870;R$ 111.000,00
180;https://www.comprecar.com.br/carros-usados/jundiai/kwid-10-12v-sce-zen-1652924;R$ 59.700,00
181;https://www.comprecar.com.br/carros-usados/jundiai/duster-16-16v-sce-iconic-1656875;R$ 109.000,00
182;https://www.comprecar.com.br/carros-usados/jundiai/sandero-10-12v-sce-gt-line-1659247;R$ 74.000,00
183;https://www.comprecar.com.br/carros-usados/jundiai/kwid-10-12v-sce-outsider-1668544;R$ 64.000,00
184;https://www.comprecar.com.br/carros-usados/jundiai/tiggo-5x-15-vvt-turbo-iflex-txs-1670674;R$ 132.000,00
185;https://www.comprecar.com.br/carros-usados/jundiai/strada-14-fire-endurance-cs-1670678;R$ 94.000,00
186;https://www.comprecar.com.br/carros-usados/jundiai/polo-10-200-tsi-highline-1670686;R$ 109.000,00
187;https://www.comprecar.com.br/carros-usados/tatui/t-cross-10-200-tsi-comfortline-1634784;R$ 144.000,00
188;https://www.comprecar.com.br/carros-usados/sorocaba/fox-10-mi-8v-4p-manual-1657230;R$ 35.900,00
189;https://www.comprecar.com.br/carros-usados/sorocaba/mobi-10-evo-easy-manual-1639164;R$ 42.900,00
190;https://www.comprecar.com.br/carros-usados/angatuba/tiggo-8-16-txs-dct-1657566;R$ 189.900,00
191;https://www.comprecar.com.br/carros-usados/jundiai/nivus-10-200-tsi-highline-1661539;R$ 136.900,00
192;https://www.comprecar.com.br/carros-usados/jundiai/nivus-10-200-tsi-highline-1661545;R$ 136.900,00
193;https://www.comprecar.com.br/carros-usados/braganca-paulista/corolla-cross-20-vvt-ie-xre-1627560;R$ 159.900,00
194;https://www.comprecar.com.br/carros-usados/boituva/hb20-10-12v-vision-1671128;R$ 77.500,00
195;https://www.comprecar.com.br/carros-usados/itu/corolla-20-vvt-ie-flex-xei-direct-shift-1666679;R$ 149.990,00
