;0;1;2;3;4;5;6;7;8
52; ONIX 1.0 TURBO FLEX PREMIER AUTOMÁTICO ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/onix-10-turbo-flex-premier-automatico-1663041;
53; TORO 1.8 16V EVO FLEX ENDURANCE AT6 ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/toro-18-16v-evo-flex-endurance-at6-1663309;
54; POLO 1.0 200 TSI HIGHLINE AUTOMÁTICO ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/polo-10-200-tsi-highline-automatico-1664242;
55; STRADA 1.4 Fire Endurance CS ; União Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/strada-14-fire-endurance-cs-1666877;
56; AMAROK - 2.0 4X4 CD 16V TURBO INTERCOOLER 4P MANUAL ; Malentachi Veículos; Sorocaba; Diesel; 2012;KM 150.000; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/amarok-20-4x4-cd-16v-turbo-intercooler-4p-manual-1670185;
57; UNO - 1.0 FIREFLY ATTRACTIVE 4P MANUAL ; Malentachi Veículos; Sorocaba; Flex - Álcool e Gasolina; 2019;KM 50.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/uno-10-firefly-attractive-4p-manual-1670187;
58; COMMANDER 1.3 T270 Turbo Overland ; União Veículos; Sorocaba; Diesel; 2022;0 KM; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/commander-13-t270-turbo-overland-1666878;
59; COMMANDER 2.0 Td380 Turbo Overland ; União Veículos; Sorocaba; Diesel; 2022;0 KM; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/commander-20-td380-turbo-overland-1668950;
60; TORO 2.0 16V Turbo Volcano 4WD AT9 ; Abrão Reze Veículos; Sorocaba; Diesel; 2022;KM 11.082; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/toro-20-16v-turbo-volcano-4wd-at9-1656300;
61; PULSE 1.0 TURBO 200 FLEX AUDACE CVT ; Abrão Reze Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 500; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/pulse-10-turbo-200-flex-audace-cvt-1657474;
62; HB20 1.0 12V Vision ; Abrão Reze Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 11.055; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-vision-1664445;
63; POLO 1.0 200 TSI Comfortline ; Abrão Reze Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 4.200; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/polo-10-200-tsi-comfortline-1668418;
64; TUCSON 1.6 16V T-gdi GLS Ecoshift ; Abrão Reze Veículos; Sorocaba; Gasolina; 2022;KM 150; Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/tucson-16-16v-t-gdi-gls-ecoshift-1670780;
65; VIRTUS 1.0 200 TSI Comfortline ; Cobel Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 7.450; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/virtus-10-200-tsi-comfortline-1659639;
66; KWID 1.0 12V SCE ZEN ; Cobel Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 29.800; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-zen-1662933;
67; SAVEIRO 1.6 Cross CD 16V ; Cobel Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 14.818; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/saveiro-16-cross-cd-16v-1668285;
68; COROLLA 2.0 Vvt-ie XEI Direct Shift ; Cobel Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 11.740; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-vvt-ie-xei-direct-shift-1670299;
69; ONIX 1.0 ; Markvel Carros e Motos; Salto; Flex - Álcool e Gasolina; 2022;KM 3.900; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/salto/onix-10-1656193;
70; VIRTUS - 1.0 200 TSI HIGHLINE AUTOMÁTICO ; Auto 7 Class; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 8.534; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/virtus-10-200-tsi-highline-automatico-1657009;
71; TAOS - 1.4 250 TSI TOTAL CONFORTLINE AUTOMÁTICO ; Auto 7 Class; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 1.001; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/taos-14-250-tsi-total-confortline-automatico-1668794;
72; HB20 ; Ferrari Multimarcas; Salto; Flex - Álcool e Gasolina; 2022;KM 150; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/salto/hb20-1615237;
73; YARIS 1.5 16V XS Multidrive ; Ferrari Multimarcas; Salto; Flex - Álcool e Gasolina; 2022;KM 6.199; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/salto/yaris-15-16v-xs-multidrive-1672327;
74; STRADA 1.3 Firefly Freedom CS ; Silverio Multimarcas; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 3.510; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/strada-13-firefly-freedom-cs-1668699;
75; COROLLA CROSS 2.0 Vvt-ie XRE ; Cartrom Veiculos; Boituva; Flex - Álcool e Gasolina; 2022;KM 6.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/boituva/corolla-cross-20-vvt-ie-xre-1650609;
76; SANDERO 1.6 16V SCE Stepway ZEN ; Cartrom Veiculos; Boituva; Flex - Álcool e Gasolina; 2022;KM 7.350; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/boituva/sandero-16-16v-sce-stepway-zen-1664236;
77; TRACKER - 1.0 TURBO LT AUTOMÁTICO ; Overcar; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 1.001; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/tracker-10-turbo-lt-automatico-1659756;
78; KICKS - 1.6 16V START EXCLUSIVE XTRONIC ; Overcar; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 1.001; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kicks-16-16v-start-exclusive-xtronic-1659758;
79; TIGGO 8 - 1.6 TGDI TXS DCT ; Overcar; Sorocaba; Gasolina; 2022;KM 3.000; Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/tiggo-8-16-tgdi-txs-dct-1664699;
80; CITY - 1.5 I-VTEC EXL CVT ; Overcar; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 1.001; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/city-15-i-vtec-exl-cvt-1670003;
81; COROLLA - 2.0 XEI 16V 4P AUTOMÁTICO ; Overcar; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 9.500; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-xei-16v-4p-automatico-1670008;
82; GOL 1.0 12V MPI Totalflex ; Progresso Veiculos; Tatuí; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/tatui/gol-10-12v-mpi-totalflex-1525803;
83; PULSE 1.0 Turbo 200 Drive ; Progresso Veiculos; Tatuí; Flex - Álcool e Gasolina; 2022;KM Não informado; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/tatui/pulse-10-turbo-200-drive-1625938;
84; Pulse 1.0 12V 4P FLEX 200 IMPETUS TURBO AUTOMÁTICO CVT ; Vieira Veiculos Itu; Itu; Flex - Álcool e Gasolina; 2022;KM 1;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/itu/pulse-10-12v-4p-flex-200-impetus-turbo-automatico-cvt-1628551
85; STRADA 1.4 Fire Endurance CS ; Tramontina Motors; Jundiaí; Flex - Álcool e Gasolina; 2022;KM 300; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/jundiai/strada-14-fire-endurance-cs-1639989;
86; COROLLA CROSS 2.0 Vvt-ie XRE ; Tramontina Motors; Jundiaí; Flex - Álcool e Gasolina; 2022;KM 17.400; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/jundiai/corolla-cross-20-vvt-ie-xre-1657644;
87; COROLLA 2.0 Vvt-ie XEI Direct Shift ; Paulo Automóveis; Itu; Flex - Álcool e Gasolina; 2022;KM 6.400; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/itu/corolla-20-vvt-ie-xei-direct-shift-1652075;
88; 328I 2.0 Sport Gp 16V Activeflex 4P Automático ; Espanha Multimarcas 01; Sorocaba; Flex - Álcool e Gasolina; 2017;KM 42.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/328i-20-sport-gp-16v-activeflex-4p-automatico-1671373;
89; GOL - 1.0 MI 8V 4P MANUAL G.V ; Malentachi Veículos; Sorocaba; Flex - Álcool e Gasolina; 2008;KM 176.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/gol-10-mi-8v-4p-manual-gv-1645399;
90; COMPASS 1.3 T270 Turbo S ; Paulo Automóveis; Itu; Flex - Álcool e Gasolina; 2022;KM 15.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/itu/compass-13-t270-turbo-s-1667593;
91; SAVEIRO 1.6 MSI ROBUST CS 8V FLEX 2P MANUAL ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM Não informado; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/saveiro-16-msi-robust-cs-8v-flex-2p-manual-1651933;
92; HB20 1.0 12V FLEX VISION MANUAL ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM Não informado; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-flex-vision-manual-1654012;
93; IX35 2.0 MPFI GL 16V FLEX 4P AUTOMÁTICO ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM Não informado; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/ix35-20-mpfi-gl-16v-flex-4p-automatico-1654016;
94; KWID 1.0 12V SCE FLEX ZEN MANUAL ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM Não informado; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-zen-manual-1654018;
95; TRACKER 1.0 TURBO FLEX LT AUTOMÁTICO ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/tracker-10-turbo-flex-lt-automatico-1656676;
96; ARGO 1.0 FIREFLY FLEX DRIVE MANUAL ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/argo-10-firefly-flex-drive-manual-1656678;
97; ARGO 1.3 FIREFLY FLEX TREKKING MANUAL ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/argo-13-firefly-flex-trekking-manual-1656679;
98; COMMANDER 2.0 TD380 TURBO DIESEL OVERLAND AT9 ; Santa Clara Veículos; Sorocaba; Diesel; 2022;0 KM; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/commander-20-td380-turbo-diesel-overland-at9-1656685;
99; COMMANDER 1.3 T270 TURBO FLEX LIMITED AT6 ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/commander-13-t270-turbo-flex-limited-at6-1656687;
100; IX35 GLS 2.0 16V 2WD FLEX AUT ; Mariano Motors; Sorocaba; Flex - Álcool e Gasolina; 2015;KM 79.150; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/ix35-gls-20-16v-2wd-flex-aut-1637468;
101; KWID - 1.0 12V SCE ZEN MANUAL ; Malentachi Veículos; Sorocaba; Flex - Álcool e Gasolina; 2020;KM 79.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-zen-manual-1638923;
102; COMPASS 1.3 T270 TURBO FLEX LIMITED AT6 ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/compass-13-t270-turbo-flex-limited-at6-1656688;
103; COMPASS 1.3 T270 TURBO FLEX SPORT AT6 ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/compass-13-t270-turbo-flex-sport-at6-1656689;
